apn,recordid,busdesc,b1_per_sub_type,dba,naics,tax_code,employee_num,bus_own_type,b1_business_name,b1_address1,b1_city,b1_state,b1_zip,b1_contact_type,b1_full_address,b1_situs_city,b1_situs_state,b1_situs_zip
ZZZZZZZZZZZZZ,BL-023218,PLUMBING & DRAIN SERV,Construction or Contractor,SERVICE HERO,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,2,Corporation,SERVICE HERO,11150 SEPULVEDA BLVD FL 2,MISSION HILLS,CA,91345,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023219,PRE-EMP PYSCH EVAL,Professional SemiProfessional,CORE PSYCHOLOGICAL CORPORATION,621330 - Offices of Mental Health Practitioners (except Physicians),P,8,Corporation,CORE PSYCHOLOGICAL CORPORATION,2377 GOLD MEADOW WAY STE 100,GOLD RIVER,CA,95670,Business Owner,0 VARIOUS,BERKELEY,CA,94704
052 141001601,BL-023220,"MASSAGE, BODY TREATMENT",Massage,HERITAGE THAI SPA LLC,621399 - Offices of All Other Miscellaneous Health Practitioners,BM,3,LLC,HERITAGE THAI SPA LLC,50 BOWLES PL,OAKLAND,CA,94610,Business Owner,3190 COLLEGE Ave,BERKELEY,CA,94705
059 226001700,BL-023221,MASSAGE THERAPY,Massage,MASSAGE THERAPY BY CORISSA,621399 - Offices of All Other Miscellaneous Health Practitioners,BM,1,Sole Ownership,MASSAGE THERAPY BY CORISSA,801 YUBA ST,RICHMOND,CA,94805,Business Owner,1533 SHATTUCK Ave,BERKELEY,CA,94709
053 166101000,BL-023222,MASSAGE THERAPY,Massage,INTENTION,621399 - Offices of All Other Miscellaneous Health Practitioners,BM,0,Sole Ownership,INTENTION,1016 CORNELL AVE,ALBANY,CA,94706,Business Owner,2818 SAN PABLO Ave,BERKELEY,CA,94702
ZZZZZZZZZZZZZ,BL-023223,SOLAR/ELECTRICAL INSTALL,Construction or Contractor,ACDC POWER,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,5,Corporation,ACDC POWER,109 FRANCISCO VILLA DR,OAKLEY,CA,94561,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023225,GENERAL CONTRACTOR,Construction or Contractor,SANTANA'S BUILDING & DESIGN,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,0,LLC,SANTANA'S BUILDING & DESIGN,703 BALRA DR,EL CERRITO,CA,94530,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023227,CONFERENCE ORGANIZING,Professional SemiProfessional,BANERJI BHASKAR,541611 - Administrative Management and General Management Consulting Services,P,1,Sole Ownership,BANERJI BHASKAR,2342 SHATTUCK AVE PMB 357,BERKELEY,CA,94704,Business Owner,0 VARIOUS,BERKELEY,CA,94704
057 209401500,BL-023228,VIDEO & MOVIE PRODUCTION,Entertainment Recreation,2T PRODUCTIONS,512110 - Motion Picture and Video Production,E,1,Sole Ownership,2T PRODUCTIONS,915 HEARST AVE,BERKELEY,CA,94710,Business Owner,909 HEARST AVE,BERKELEY,CA,94710
057 209401400,BL-023228,VIDEO & MOVIE PRODUCTION,Entertainment Recreation,2T PRODUCTIONS,512110 - Motion Picture and Video Production,E,1,Sole Ownership,2T PRODUCTIONS,915 HEARST AVE,BERKELEY,CA,94710,Business Owner,909 HEARST AVE,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-023230,INSTALL/REP. AC/HEATER,Construction or Contractor,KEVINN'S AIR CONDITIONING AND HEATERS,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,0,Sole Ownership,KEVINN'S AIR CONDITIONING AND HEATERS,1016 WEST ST,PITTSBURG,CA,94565,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023231,ELECTRICAL CONTRACTOR,Construction or Contractor,SINGH ELECTRICAL US LLC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,0,LLC,SINGH ELECTRICAL US LLC,31094 UNION CITY BLVD,UNION CITY,CA,94587,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023232,BIRTH DOULA,Business Personal Repair Svs,ABBY YOUR DOULA LLC,812990 - All Other Personal Services,B,1,LLC,ABBY YOUR DOULA LLC,2400 EUNICE ST,BERKELEY,CA,94708,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023233,ENV. AIR TESTING R&D,Professional SemiProfessional,CARLYLE DIAGNOSTICS INC,"541715 - Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",P,3,Corporation,CARLYLE DIAGNOSTICS INC,2332 4TH ST STE J,BERKELEY,CA,94710,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023234,ROOFING CONTRACTOR,Construction or Contractor,BAY CITY ROOFING INC,238160 - Roofing Contractors,C,2,Corporation,BAY CITY ROOFING INC,1627 LIPTON ST,ANTIOCH,CA,94509,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023235,GENERAL CONTRACTOR,Construction or Contractor,KNB REMODELING,236118 - Residential Remodelers,C,2,Corporation,KNB REMODELING,944 N Sierra Bonita Ave,West Hollywood,CA,900462256,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023236,GENERAL CONTRACTOR,Construction or Contractor,BROADWAY DESIGN BUILD,236118 - Residential Remodelers,C,1,Corporation,BROADWAY DESIGN BUILD,1721 BROADWAY STE 201,OAKLAND,CA,94612,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023237,SOLAR INSTALLATION,Construction or Contractor,GT POWER CONSTRUCTION INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,2,Corporation,GT POWER CONSTRUCTION INC,1320 WILLOW PASS RD STE 600,CONCORD,CA,94520,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023238,YACHT CHARTER,Entertainment Recreation,EMPRESS EVENTS INC,713990 - All Other Amusement and Recreation Industries,E,5,Corporation,EMPRESS EVENTS INC,3020 BRIDGEWAY,SAUSALITO,CA,94965,Business Owner,0 VARIOUS,BERKELEY,CA,94704
053 165500900,BL-023239,COMMERCIAL RENTAL,Rental of Real Property,TEMESCAL LP & CC INDUSTRIAL P,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,Partnership,TEMESCAL LP & CC INDUSTRIAL P,150 N WIGET LN STE 250,WALNUT CREEK,CA,94598,Business Owner,2850 SEVENTH ST,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-023240,ELECTRICAL CONTRACTOR,Construction or Contractor,L&L ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,0,Sole Ownership,L&L ELECTRIC,56 FLORA ST,SAN FRANCISCO,CA,94124,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023242,GENERAL CONTRACTOR,Construction or Contractor,CUBE CONSTRUCTION INC,236118 - Residential Remodelers,C,0,Corporation,CUBE CONSTRUCTION INC,2998 WILLIAMS RD,SAN JOSE,CA,95128,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023243,MOBILE DETAIL,Business Personal Repair Svs,PEOPLES CAR WASH AUTO DETAIL LLC,811192 - Car Washes,B,3,LLC,PEOPLES CAR WASH AUTO DETAIL LLC,484 LAKE PARK AVE PMB 678,OAKLAND,CA,94610,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023244,GENERAL CONTRACTOR,Construction or Contractor,R T CONSTRUCTION CO,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,1,Sole Ownership,R T CONSTRUCTION CO,4053 LAKESHORE AVE,OAKLAND,CA,94610,Business Owner,0 VARIOUS,BERKELEY,CA,94704
054 172900500,BL-023245,ENTERPRISE/HLTH CONSULT,Professional SemiProfessional,JAIME MULLIGAN CONSULTING LLC,541618 - Other Management Consulting Services,P,0,LLC,JAIME MULLIGAN CONSULTING LLC,2740 GRANT ST,BERKELEY,CA,94703,Business Owner,2740 GRANT St,BERKELEY,CA,94703
056 197400800,BL-023246,RES. RENTAL - 3 UNITS,Rental of Real Property,WILLEN WILLEN AND SCARDATO LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,WILLEN WILLEN AND SCARDATO LLC,4771 SEAFORD PL,SAN DIEGO,CA,92117,Business Owner,2112 TENTH St,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-023247,TRANSPORTATION COMPANY,Business Personal Repair Svs,THE CREW TRANSPORTATION INC,"484220 - Specialized Freight (except Used Goods) Trucking, Local",B,5,Corporation,THE CREW TRANSPORTATION INC,PO BOX 3521,OAKLAND,CA,94609,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023248,ROOFING CONTRACTOR,Construction or Contractor,ROOF GUARD COMPANY INC,238160 - Roofing Contractors,C,4,Corporation,ROOF GUARD COMPANY INC,1980 STONE AVE,SAN JOSE,CA,95125,Business Owner,0 VARIOUS,BERKELEY,CA,94704
056 197800802,BL-023249,RESTAURANT,Retail Trade,MIDDLE EAST CAFE,722511 - Full-Service Restaurants,R,5,Corporation,MIDDLE EAST CAFE,2056 SAN PABLO AVE,BERKELEY,CA,94702,Business Owner,2056 SAN PABLO Ave,BERKELEY,CA,94702
057 202501703,BL-023251,THINK TANK,Non Profit Organizations,THE BREAKTHROUGH INSTITUTE,541720 - Research and Development in the Social Sciences and Humanities,N,23,Corporation,THE BREAKTHROUGH INSTITUTE,2054 UNIVERSITY AVE STE 500,BERKELEY,CA,94704,Business Owner,2054 UNIVERSITY Ave,BERKELEY,CA,94704
052 157002500,BL-023252,"DESIGN, DIGITAL SERVICES",Professional SemiProfessional,BLIPSANDCLICKS,541519 - Other Computer Related Services,P,0,Sole Ownership,BLIPSANDCLICKS,2909 REGENT ST APT 4,BERKELEY,CA,94705,Business Owner,2909 REGENT St,BERKELEY,CA,94705
052 153101900,BL-023253,ACCOUNTING SERVICES,Professional SemiProfessional,MICHAEL LEUNG INC,541219 - Other Accounting Services,P,1,Corporation,MICHAEL LEUNG INC,1818 HARMON ST STE 2,BERKELEY,CA,94703,Business Owner,1818 HARMON St,BERKELEY,CA,94703
052 140900101,BL-023254,PET FOODS & SUPPLIES,Retail Trade,HEALTHY SPOT,459910 - Pet and Pet Supplies Retailers,R,10,Corporation,HEALTHY SPOT,510 NAVAJO PL,DANVILLE,CA,94526,Business Owner,3206 COLLEGE Ave,BERKELEY,CA,94705
057 210200501,BL-023255,DIY JEWELRY STUDIO CLASS,Professional SemiProfessional,SILVERWORK STUDIOS LLC,611699 - All Other Miscellaneous Schools and Instruction,P,1,LLC,SILVERWORK STUDIOS LLC,807 ALBATROSS DR,NOVATO,CA,94945,Business Owner,1824 FOURTH St,BERKELEY,CA,94710
052 156706800,BL-023256,ICE CREAM SHOP,Retail Trade,MIHARU ICE CREAM,722515 - Snack and Nonalcoholic Beverage Bars,R,5,Sole Ownership,MIHARU ICE CREAM,2965 COLLEGE AVE,BERKELEY,CA,94705,Business Owner,2965 COLLEGE Ave,BERKELEY,CA,94705
056 191903300,BL-023258,PUSH & PULL BIN SVC,Business Personal Repair Svs,URBIN LLC,812990 - All Other Personal Services,B,0,LLC,URBIN LLC,2411 ACTON ST,BERKELEY,CA,94702,Business Owner,2411 ACTON St,BERKELEY,CA,94702
059 228702701,BL-023259,ARTWORK & SUPPLIES,Retail Trade,EAST BAY MAKER CLUB,459920 - Art Dealers,R,0,Corporation,EAST BAY MAKER CLUB,1507 JOSEPHINE ST,BERKELEY,CA,94703,Business Owner,1619 SAN PABLO Ave,BERKELEY,CA,94702
056 197401100,BL-023260,REAL ESTATE DEVELOPMENT,Professional SemiProfessional,HOM LIVING SPACES,531390 - Other Activities Related to Real Estate,P,1,Sole Ownership,HOM LIVING SPACES,PO BOX 2175,BERKELEY,CA,94702,Business Owner,2120 TENTH St,BERKELEY,CA,94710
057 202300400,BL-023262,PSYCHOTHERAPY/COUNSELING,Non Profit Organizations,LIFE BY DESIGN THERAPY COLLECTIVE,621330 - Offices of Mental Health Practitioners (except Physicians),N,3,Corporation,LIFE BY DESIGN THERAPY COLLECTIVE,310 CRAWFORD WAY UNIT 20236,AMERICAN CYN,CA,94503,Business Owner,2140 SHATTUCK Ave,BERKELEY,CA,94704
053 165802301,BL-023263,COFFEE ROASTER/WHOLESALE,Manufacturing,HOUSE OF UNCOMMON GROUNDS,311920 - Coffee and Tea Manufacturing,M,3,LLC,HOUSE OF UNCOMMON GROUNDS,404 BONNIE DR,EL CERRITO,CA,94530,Business Owner,2813 SEVENTH St,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-023264,ELECTRICAL CONTRACTOR,Construction or Contractor,MCCARTHY ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,2,Corporation,MCCARTHY ELECTRIC,1456 FOURTH ST STE. A,BERKELEY,CA,94710,Business Owner,0 VARIOUS,BERKELEY,CA,94704
056 194500401,BL-023265,PROBIOTIC RESEARCH-DEV,Professional SemiProfessional,STEPEHEN SKOLNICK AND COMPANY,541714 - Research and Development in Biotechnology (except Nanobiotechnology),P,1,Corporation,STEPEHEN SKOLNICK AND COMPANY,2332 5th ST SUITE E,BERKELEY,CA,94710,Business Owner,2332 FIFTH St,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-023266,ROOFING CONTRACTOR,Construction or Contractor,CALISCO ROOFING,238160 - Roofing Contractors,C,2,Sole Ownership,CALISCO ROOFING,3590 POINT OF TIMBER RD,BRENTWOOD,CA,94513,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023267,ICE CREAM SALES,Wholesale Trade,NAIA INC,424430 - Dairy Product (except Dried or Canned) Merchant Wholesalers,W,25,Corporation,NAIA INC,736 ALFRED NOBEL DR,HERCULES,CA,94547,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 187101901,BL-023270,BIOTECH R&D,Professional SemiProfessional,ARCHER THERAPEUTICS,541714 - Research and Development in Biotechnology (except Nanobiotechnology),P,4,Corporation,ARCHER THERAPEUTICS,2630 BANCROFT WAY,BERKELEY,CA,94704,Business Owner,2630 BANCROFT Way,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023271,PUBLIC ART CONSULT/FAB.,Professional SemiProfessional,DYSON & WOMACK,541618 - Other Management Consulting Services,P,7,Corporation,DYSON & WOMACK,3327 VERDUGO RD,LOS ANGELES,CA,90065,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023272,LAND SURVEYING SVCS,Professional SemiProfessional,RIDGELINE ENGINEERING,541330 - Engineering Services,P,20,Corporation,RIDGELINE ENGINEERING,2769 BOEING WAY,STOCKTON,CA,95206,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023273,FRAMIN/DRYWALL,Construction or Contractor,COMPONENT WEST INC,238310 - Drywall and Insulation Contractors,C,52,Corporation,COMPONENT WEST INC,620 FIFTH AVE,PELHAM,NY,10803,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023274,WATERPROOFING,Construction or Contractor,BEAR COATINGS INC,238990 - All Other Specialty Trade Contractors,C,16,Corporation,BEAR COATINGS INC,5085 LONE TREE WAY,ANTIOCH,CA,94531,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023276,ASPHALT/CONCRETE,Construction or Contractor,JOHNSON & SAMPSON CONSTRUCTION INC,238110 - Poured Concrete Foundation and Structure Contractors,C,10,Corporation,JOHNSON & SAMPSON CONSTRUCTION INC,4512 YANKEE HILL CT,ROCKLIN,CA,95677,Business Owner,0 VARIOUS,BERKELEY,CA,94704
056 193701600,BL-023279,RES. RENTAL - 6 UNITS,Rental of Real Property,CHANNING INVESTORS LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,CHANNING INVESTORS LLC,626 EL CAMINO REAL,SAN CARLOS,CA,94070,Business Owner,939 CHANNING Way,BERKELEY,CA,94710
056 193701300,BL-023280,RES. RENTAL - 6 UNITS,Rental of Real Property,CHANNING INVESTORS LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,CHANNING INVESTORS LLC,626 EL CAMINO REAL,SAN CARLOS,CA,94070,Business Owner,2344 NINTH St,BERKELEY,CA,94710
056 193702001,BL-023281,RES. RENTAL - 10 UNITS,Rental of Real Property,CHANNING INVESTORS LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,CHANNING INVESTORS LLC,626 EL CAMINO REAL,SAN CARLOS,CA,94070,Business Owner,2341 EIGHTH St,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-023282,SOLAR INSTALLATION,Construction or Contractor,ELITE ENERGY ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,5,Corporation,ELITE ENERGY ELECTRIC,1162 LINCOLN AVE APT 226,WALNUT CREEK,CA,94596,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023284,PROF. ENGINEERING SVCS,Professional SemiProfessional,NV5 INC,541330 - Engineering Services,P,4,Corporation,NV5 INC,200 S PARK RD STE 350,HOLLYWOOD,FL,33021,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023286,ROOFING CONTRACTOR,Construction or Contractor,ROOFOLOGY 101 INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,3,Corporation,ROOFOLOGY 101 INC,19035 LOWELL AVE,CHERRYLAND,CA,94541,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023289,ELECTRICAL SERVICES,Construction or Contractor,HOERZ ELECTRIC INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,1,Corporation,HOERZ ELECTRIC INC,39885 WYATT LN,FREMONT,CA,94538,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 187801800,BL-023291,DESKTOP PUBLISHING,Business Personal Repair Svs,METRO PUBLISHING,561410 - Document Preparation Services,B,1,Sole Ownership,METRO PUBLISHING,2440 BANCROFT WAY STE 105,BERKELEY,CA,94704,Business Owner,2440 BANCROFT WAY,BERKELEY,CA,94704
056 197301500,BL-023292,RES. RENTAL - 5 UNITS0,Rental of Real Property,LEIGH CAPITAL INC,531110 - Lessors of Residential Buildings and Dwellings,L,2,Corporation,LEIGH CAPITAL INC,3448 MAPLEWOOD AVE,LOS ANGELES,CA,90066,Business Owner,2035 NINTH St,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-023294,CONTRACTOR,Construction or Contractor,AYALA BUILDERS AND COMPANY INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,2,Corporation,AYALA BUILDERS AND COMPANY INC,2727 HUMPHREY AVE,RICHMOND,CA,94804,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023295,GENERAL CONTRACTOR,Construction or Contractor,AS GENERAL CONTRACTOR,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,1,LLC,AS GENERAL CONTRACTOR,5515 VAN FLEET AVE,RICHMOND,CA,94804,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023297,"PLUMBING,ELECTRIC,HVAC",Construction or Contractor,SUGAR BEAR PLUMBING INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,1,LLC,SUGAR BEAR PLUMBING INC,317 COREY WAY,S SAN FRAN,CA,94080,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023299,ROOFING CONTRACTOR,Construction or Contractor,TARASCO ROOFINGINC,238160 - Roofing Contractors,C,3,Corporation,TARASCO ROOFINGINC,27115 SAINT FRANCIS AVE,HAYWARD,CA,94544,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023300,ED PROG. -ANIMAL SHELTERS,Non Profit Organizations,SHELTER PLAYGROUP ALLIANCE,611699 - All Other Miscellaneous Schools and Instruction,N,5,Corporation,SHELTER PLAYGROUP ALLIANCE,1444 E 31ST ST,OAKLAND,CA,94602,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023301,"COMMERCIAL DOOR,GATES",Construction or Contractor,KP DOORS & ACCESS LLC,238290 - Other Building Equipment Contractors,C,15,LLC,KP DOORS & ACCESS LLC,28971 HOPKINS ST STE 2,HAYWARD,CA,94545,Business Owner,0 VARIOUS,BERKELEY,CA,94704
054 172801500,BL-023302,RES. RENTAL - 4 UNITS,Rental of Real Property,CHETAN MEHTA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,CHETAN MEHTA,2711 MCGEE AVE APT 8,BERKELEY,CA,94703,Business Owner,2709 MCGEE Ave,BERKELEY,CA,94703
ZZZZZZZZZZZZZ,BL-023303,FIRE PROTECTION,Construction or Contractor,BAYVIEW FIRE PROTECTION,238990 - All Other Specialty Trade Contractors,C,1,Corporation,BAYVIEW FIRE PROTECTION,1932 MANCHESTER RD,CASTRO VALLEY,CA,94578,Business Owner,0 VARIOUS,BERKELEY,CA,94704
058 216201000,BL-023304,RES. RENTAL - 3 UNITS,Rental of Real Property,MANUCHEHRI PARVIN,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,MANUCHEHRI PARVIN,410 COLUSA AVE,KENSINGTON,CA,94707,Business Owner,1739 VIRGINIA St,BERKELEY,CA,94703
055 182701800,BL-023305,RES. RENTAL - 6 UNITS,Rental of Real Property,SURFSIDE RENTAL PROPERTIES II LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,SURFSIDE RENTAL PROPERTIES II LLC,484 LAKE PARK AVE # 280,OAKLAND,CA,94607,Business Owner,2627 FULTON St,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023306,REMODEL,Construction or Contractor,POLYGON BUILDER INC,236118 - Residential Remodelers,C,7,Corporation,POLYGON BUILDER INC,580 MADERA AVE,SAN JOSE,CA,95112,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023307,HEATING INSTALL,Construction or Contractor,COMFORT ZONE HEATING & AIR CONDITIONING CO,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,0,Sole Ownership,COMFORT ZONE HEATING & AIR CONDITIONING CO,339 N ELLSWORTH AVE,SAN MATEO,CA,94401,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023308,DRYWALL PATCHING,Construction or Contractor,CUSTOM DESIGN DRYWALL INC,238310 - Drywall and Insulation Contractors,C,3,LLC,CUSTOM DESIGN DRYWALL INC,1246 HEAVENLY CIR,STOCKTON,CA,95209,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023309,MD - BERKELEY PUB HEALTH,Professional SemiProfessional,"CHAHINE ANTONIO MD, MSPH",621111 - Offices of Physicians (except Mental Health Specialists),P,0,Sole Ownership,"CHAHINE ANTONIO MD, MSPH",507 WICKSON AVE APT 203,OAKLAND,CA,94610,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023310,ADVERTISING CONSULTING,Professional SemiProfessional,GRITERA CONSULTING INC,541810 - Advertising Agencies,P,1,Corporation,GRITERA CONSULTING INC,1535 FRANCISCO ST,BERKELEY,CA,94703,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023311,ELECTRICAL SERVICES,Construction or Contractor,POPPY ELECTRIFICATION,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,4,Corporation,POPPY ELECTRIFICATION,45 KENYON AVE,KENSINGTON,CA,94708,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 183603100,BL-023313,CONVENIENCE RETAIL/DELIVERY,Grocer,JOHNSON DELIVERY LLC,445131 - Convenience Retailers,G,30,LLC,JOHNSON DELIVERY LLC,2620 TELEGRAPH AVE,BERKELEY,CA,94704,Business Owner,2620 TELEGRAPH Ave,BERKELEY,CA,94704
052 157500900,BL-023314,PSYCHOTHERAPY- LCSW,Professional SemiProfessional,SCHEAR TRACEY,621330 - Offices of Mental Health Practitioners (except Physicians),P,1,Sole Ownership,SCHEAR TRACEY,19 KENILWORTH DR,KENSINGTON,CA,94707,Business Owner,3099 TELEGRAPH Ave,BERKELEY,CA,94705
056 199100113,BL-023316,8 UNIT/ RESID.,Rental of Real Property,BONAR INVESTMENTS 1 LP,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLP/LP,BONAR INVESTMENTS 1 LP,2801 PINOLE VALLEY RD STE 210,PINOLE,CA,94564,Business Owner,2227 BONAR St,BERKELEY,CA,94702
ZZZZZZZZZZZZZ,BL-023317,SOLAR PROJECTS,Construction or Contractor,LYTEGEN,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,4,Corporation,LYTEGEN,4600 NORTHGATE BLVD STE 220,SACRAMENTO,CA,95834,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023318,COMM. FLOOR INSTALLATION,Construction or Contractor,UNIVERSAL FLOORING,238330 - Flooring Contractors,C,25,Corporation,UNIVERSAL FLOORING,1060 NATIONAL DR STE 1,SACRAMENTO,CA,95834,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023319,FRAMING CONTRACTOR,Construction or Contractor,JD FRAMING INC,238130 - Framing Contractors,C,8,Corporation,JD FRAMING INC,549 BLISS AVE STE A,PITTSBURG,CA,94565,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023320,CONSULTING SERVICES,Professional SemiProfessional,KOA HILLS CONSULTING LLC,541618 - Other Management Consulting Services,P,17,LLC,KOA HILLS CONSULTING LLC,PO BOX 58,RENO,NV,89504,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023321,TELECOMM RESELLER,Retail Trade,AIR VOICE WIRELESS LLC,517121 - Telecommunications Resellers,R,0,LLC,AIR VOICE WIRELESS LLC,151 SOUTHHALL LN STE 450,MAITLAND,FL,32751,Business Owner,0 VARIOUS,BERKELEY,CA,94704
052 152001700,BL-023322,3 UNIT RES.,Rental of Real Property,1522 HARMON LP,531110 - Lessors of Residential Buildings and Dwellings,L,1,Sole Ownership,1522 HARMON LP,1522 HARMON ST UNIT B,BERKELEY,CA,94703,Business Owner,1522 HARMON St,BERKELEY,CA,94703
ZZZZZZZZZZZZZ,BL-023323,ARCHITECTURE FIRM,Professional SemiProfessional,SHED & CO,541310 - Architectural Services,P,0,Corporation,SHED & CO,2326 WELSH CT,WALNUT CREEK,CA,94598,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023324,PSYCHOLOGICAL EVALUATIONS,Professional SemiProfessional,ARMSTRONG PHD,"621112 - Offices of Physicians, Mental Health Specialists",P,0,Corporation,ARMSTRONG PHD,66 FRANKLIN ST STE 300,OAKLAND,CA,94607,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023325,WINDOW INSTALLATION,Construction or Contractor,LIGHTHOUSE WINDOWS INC,238390 - Other Building Finishing Contractors,C,6,Corporation,LIGHTHOUSE WINDOWS INC,317 POTRERO ST STE E,SANTA CRUZ,CA,95060,Business Owner,0 VARIOUS,BERKELEY,CA,94704
