source_record_key,grounded_count,convention,source_document,source_ref,corroboration,adjudicated,note
"B2017-04713","1","dwelling","CPRA WorkDescription: ""268 square foot New single story ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1224 STANNAGE"
"B2021-04809","1","dwelling","CPRA WorkDescription: ""Convert garage into ADU.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1044 PAGE"
"B2019-05173","1","dwelling","CPRA WorkDescription: ""Conversion of an existing garage into an accessory dwelling unit Fire zone 2""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1039 MARIPOSA"
"B2021-01591","1","dwelling","CPRA WorkDescription: ""Rear addition and alteration on an existing 2 story residence. (108sf 2 story addition, and covert 475sf into a Jr ADU)""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1128 PARKER"
"B2016-03666","1","dwelling","CPRA WorkDescription: ""New (3,687 SQ FT) Home""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1169 CRAGMONT"
"B2018-01061","1","dwelling","CPRA WorkDescription: ""Remodel existing accessory building (legal living area) into new ADU--change of use""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1211 TALBOT"
"B2018-00964","1","dwelling","CPRA WorkDescription: ""New 501 SF ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1412 M L KING JR"
"B2016-05671","1","dwelling","CPRA WorkDescription: ""Convert (E) first floor pottery studio into a dwelling unit. Existing second floor dwelling unit to remain.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1449 5TH"
"B2017-01520","1","dwelling","CPRA WorkDescription: ""(E) Basement converted to make a new 740 SQ Ft ADU: Work includes excavation and structural work.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1505 ARCH"
"B2018-00955","1","dwelling","CPRA WorkDescription: ""Legalize lower unit. Abate Notice of Violation and Housing Code Enforcement report #H2018-00007. Engineered seismic retrofit in basement. Fo""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1510 SPRUCE"
"B2020-03794","1","dwelling","CPRA WorkDescription: ""Install 852 sq ft manufactured home as an accessory dwelling unit""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1601 LINCOLN"
"B2017-03938","1","dwelling","CPRA WorkDescription: ""New 386 SqFt accessory dwelling unit with storage attic. (Two permits, one set of plans, See permit B2017-03937 for Demolition. Creek proper""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1547 POSEN"
"B2016-03120","1","dwelling","CPRA WorkDescription: ""New 749 SQ FT ADU. Added B,E,M,P's 1st extension to Jan 9, 2019.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1527 PARKER"
"B2020-03294","1","dwelling","CPRA WorkDescription: ""Convert 998 S.F (E) garage to (P) ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1623 RUSSELL"
"B2009-02862","1","dwelling","CPRA WorkDescription: ""**REMODEL AND ADDITION OF 1,580 SQ FT. CHANGE FROM SINGLE FAMILY RESIDENCE TO TWO (2) UNITS. WILL BECOME 1617 & 1619 CORNELL AVE. **Building""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1619 CORNELL"
"B2020-00314","1","dwelling","CPRA WorkDescription: ""Construction of new 1156SF, 3bedroom, one story residence. (Solar PV under separate permit required prior to final. Refer to separate permit""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1632 STUART"
"B2017-00207","1","dwelling","CPRA WorkDescription: ""Convert (E) Basement to Habitable (1,634 SQ FT) ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1624 POSEN"
"B2015-02995","37","dwelling","CPRA WorkDescription: 'ACHESON BLDG A: REHABILITATION OF AN EXISTING 24429 SFT, 4 STORY LANDMARKED BUILDING TO A MIXED USE: 37 RESIDENTIAL UNITS ON 2ND THROUGH 4TH FLOORS...' — office-to-residential conversion (the Acheson Physicians' Building, 1908, was OFFICES per landmark/project records)","CPRA permit record (primary)","CPRA NumberUnits=37; city CO=37 on 2022-08-05 == our finaled date (CKAN+PDF concordant); web: 'interior will convert from offices to housing' (Knapp Architects / SF YIMBY). DIVERGENCE NOTED: an earlier design description said 21 apartments — three concordant permit/city records outweigh the press figure","2026-07-03","Acheson Commons Building A (2131 University, landmarked). The last convention-class adjudication from the residual decomposition; siblings B/C/D counted 35/65/68"
"B2016-05139","23","dwelling","Developer's own property records (SAHA, 'Grayson Apartments'): 'four-story building with 23 one- and two-bedroom apartments, including one manager's unit'; completed Oct 2019 == our finaled 2019-10-23","https://www.sahahomes.org/property/grayson-apartments/ + MTC housing portal listing","CPRA NumberUnits=23 (permit-stated); city CY2019 CO row 23 (enumeration only). ADDRESS-SWAP finding (John's Accela URLs): PREAPP000322 — main address was 2748 San Pablo, swapped with retail's 2740; 'Grayson Apartments' at San Pablo & Grayson — the swap explains why all 2740-based document searches were empty","2026-07-03","Grayson Apartments, 2740/2748 San Pablo Ave (SAHA affordable, 20-60% AMI, families/special-needs/TAY). THE LAST +147 HELD ITEM RESOLVED — held_147 is now EMPTY"
"B2019-01789","40","dwelling","COMPLETION-PERMIT-EXPIRED convention (first instance): family completion B2018-01337 is CLOSED-EXPIRED unfinaled (Accela, verified 2026-07-03) while the building is occupied since ~2021 -> the family's LAST FINALED permit (B2019-01789, 2021-10-25) carries the completion. Units from the permit family: REV01 'new domestic water sub-meters for each of the 40 units'","CPRA permit family + Accela record status","Leasing records: 'The Den', 40 Units / 7 Stories / Built 2020 (Apartments.com, Trulia); city CY2021 PDF CO row 36 @10/25/2021 (SAME date - the city also attached CO to this final; their 36 is an under-read, divergence noted); CKAN dropped the row entirely","2026-07-03","The Den, 2510 Channing. SUPERSEDES the same-day c_multifamily demote (row removed with this provenance - its 'returns when B2018-01337 finals' premise was falsified by the expiry). Sets the never-final convention (the Overture's cousin)"
"B2021-04563","4","dwelling","CPRA WorkDescription (full text; the review CSV had truncated it): 'minor interior renovations to (2) of the existing office units... to convert them into (4) residential units'","CPRA permit record","UnitsAdded=4 concurs; city credited 4 (CY2023)","2026-07-03","2980 College — office-to-residential conversion; UNCERTAIN resolved by reading the untruncated description"
"B2022-06065","1","dwelling","CPRA WorkDescription (MASTER permit): 'Additions and alteration to the existing house including a junior ADU'","CPRA permit record","the reviewer saw only a blank DEF sub-permit; the master (finaled 2025-09-04) carries the JADU","2026-07-03","605 Neilson — JADU creation"
"B2017-01244","1","dwelling","CPRA WorkDescription: 'New 972 SqFt, 2 Story, Accessory Structure in rear. (New address to be 2449 Virginia St address assignment applied for.)' + full plumbing scope","CPRA permit record","ADDRESS-ASSIGNMENT tell: accessory structures do not receive their own street address; city credited 1 (CY2019)","2026-07-03","2449 Virginia — dwelling-in-all-but-name; the address assignment is the grounding"
"B2018-01376","1","dwelling","CPRA WorkDescription: '...Conversion of existing rear garage to detached accessory dwelling unit...'","CPRA permit record","finaled 2019-11-22 == the city PDF's CO date to the day (a CY2019 PDF-only credit CKAN never carried)","2026-07-03","1145 Amador — row 162-class ADU conversion, surfaced by the PDF side of the sweep"
"B2021-00688","1","dwelling","City address-assignment record PREAPP000711: 'proposed address 961 THE ALAMEDA #A to be assigned to newly constructed ADU' + the finaled accessory-structure permit","Accela PREAPP000711 + CPRA permit record","the city's own addressing paperwork names the structure an ADU (John's find); city credited 1 (CY2022)","2026-07-03","961 The Alameda — resolved by the AAR"
"B2021-00470","1","legalization","Permit family adjudication: a long-unpermitted second unit (TWO metered units, consolidated 2023; NO creation permit exists in the family) formalized as a JADU (partition + efficiency-kitchen spec)","CPRA permit family + Accela record sweep","city credited 1; meter-consolidation fits JADU shared-service rules. JUDGMENT-CALL flag: the counter-reading (pre-legal ADU, net-0 reconfiguration) has no permit record to stand on","2026-07-03","1639 Julia — legalization-convention accept; the weakest accept of the set, flagged"
"B2020-03895","2","dwelling","CPRA WorkDescription: 'New detached ADU reconfigured to a two units building' + REV01 'add a dwelling unit to the approved ADU to create two dwelling units'","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","3005 Harper; RESOLVES the c2_excluded hold (the June-28 #3 pending case). Agent-adjudicated + John-approved"
"B2020-02131","1","dwelling","CPRA WorkDescription: 'Convert basement to 1 (one) bedroom ADU - add entrance, kitchen', UnitsAdded=1","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","1839 Berkeley (ours had only the 1837 townhouses at the same APN). Agent-adjudicated + John-approved"
"B2022-02049","1","dwelling","CPRA WorkDescription: 'Convert existing home into (2) separate dwelling units', UnitsAdded=1 (net)","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","1825 Berkeley; the CY2024 re-credit of this permit is a documented city error. Agent-adjudicated + John-approved"
"B2019-05487","2","dwelling","CPRA WorkDescription: 'Construct new 4,207 Duplex with a 425 SF attached garage', NumberUnits=2","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","1024 Grizzly Peak — base-permit-vs-revision address split; assessor situs arbitrates. Agent-adjudicated + John-approved"
"B2018-02640","1","dwelling","CPRA WorkDescription: 'conversion of an existing illegal non-conforming dwelling unit into a legal dwelling unit', UnitsAdded=1","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","1734 Spruce (the 2013-2nd row's second APN); legalization. Agent-adjudicated + John-approved"
"B2022-02844","1","dwelling","CPRA WorkDescription: 'Addition of basement garage & JR ADU accessible by new driveway' (UnitsAdded=0 trap)","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","655 San Luis. Agent-adjudicated + John-approved"
"B2018-03160","1","dwelling","CPRA WorkDescription: 'New two-story mini-dorm residential building 2,419sqft', CO required","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","2524 Dwight. Agent-adjudicated + John-approved"
"B2017-00518","2","dwelling","CPRA WorkDescription: 'New Front (Northerly) Duplex for 1028 Grayson' (UnitsAdded=None); CKAN note: '2 BLDG PERMITS EACH FOR 2 UNITS FOR A TOTAL OF 4'","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","1030 Grayson — twin of the counted rear duplex. Agent-adjudicated + John-approved"
"B2020-01212","1","dwelling","CPRA WorkDescription: 'New 849 SqFt Accessory Dwelling Unit' (UnitsAdded=0 trap)","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","151 Tunnel. Agent-adjudicated + John-approved"
"B2015-02601","1","dwelling","CPRA WorkDescription: 'ADDITION 634 SQ FT ADU', CO required","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","1518 Hawthorne Ter. Agent-adjudicated + John-approved"
"B2020-02941","2","dwelling","CPRA WorkDescription: 'Daffodil Duplex' — new-construction duplex, finaled 2023-03-06; UPGRADE 1->2 (Hearst amendment; raw NumberUnits corroborates)","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","1173 Hearst. Agent-adjudicated + John-approved"
"B2020-02942","2","dwelling","CPRA WorkDescription: 'Edelweiss Duplex' — new-construction duplex, finaled 2023-03-15; UPGRADE 1->2 (Hearst amendment)","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","1173 Hearst. Agent-adjudicated + John-approved"
"B2021-01331","1","dwelling","CPRA WorkDescription: 'New 1571 SF single family house', finaled 2022-12-23 == city CO to the day","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","770 Page — re-platted child parcel; one of 4 new houses on the subdivided lot. Agent-adjudicated + John-approved"
"B2022-04367","1","dwelling","CPRA WorkDescription: 'Convert portion of garage/house to JADU' (UnitsAdded=0 trap)","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","85 Hazel. Agent-adjudicated + John-approved"
"B2022-04626","1","dwelling","CPRA WorkDescription: 'Legalization of garage conversion to new ADU and addition', CO required","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","1118 Carleton. Agent-adjudicated + John-approved"
"B2024-02503","1","dwelling","CPRA WorkDescription: 'House raised 18"" to create new attached ADU at ground level' (UnitsAdded=0 trap)","CPRA permit record (primary)","no-candidate batch 2026-07-03: CKAN JURS_TRACKING_ID + CO-date concordance as enumeration; full playbook (address variants, assessor situs, Accela incl. PREAPP/AAR)","2026-07-03","1205 Kains. Agent-adjudicated + John-approved"
